id,Tm
1022,357.216552734375
1146,343.5251770019531
79,216.69046020507812
2279,213.077880859375
1342,265.0551452636719
2082,336.17681884765625
29,212.5306396484375
515,329.4087829589844
2309,283.2481994628906
1177,234.51638793945312
553,253.92532348632812
179,309.7854919433594
1441,287.0835876464844
1457,314.5523376464844
1085,260.1040954589844
2344,323.5906982421875
848,267.5751647949219
176,257.81341552734375
3282,470.02728271484375
2743,143.19839477539062
2308,144.694091796875
2648,150.78475952148438
71,399.79595947265625
498,211.25852966308594
366,332.3416748046875
193,206.95530700683594
18,339.4306335449219
9,308.0068664550781
684,428.36102294921875
558,329.26690673828125
2831,421.6520080566406
2443,309.57623291015625
2795,269.3167724609375
714,188.6837921142578
2626,322.4777526855469
613,257.33270263671875
2380,347.1266174316406
2459,282.4136962890625
1619,218.71826171875
2176,339.94268798828125
1599,206.78797912597656
2992,359.52972412109375
1715,197.34400939941406
2689,151.36944580078125
873,212.6585235595703
1039,372.6192932128906
3213,336.81549072265625
3066,254.9929656982422
2702,293.2914123535156
1339,398.09661865234375
2332,329.3308410644531
1758,305.0167541503906
2198,136.22015380859375
1324,302.89337158203125
1386,336.2980651855469
1322,288.5398864746094
846,240.482421875
1145,270.6745300292969
992,307.83319091796875
416,255.4476776123047
243,327.0253601074219
1197,318.1773376464844
2519,210.2220458984375
1269,327.15203857421875
2632,404.6427917480469
1070,209.010009765625
2410,265.0670166015625
3037,305.8748779296875
2868,258.969482421875
3130,343.3471984863281
283,303.7571716308594
1891,382.2754821777344
2553,233.34413146972656
1700,207.3207550048828
1719,222.91078186035156
2880,290.7055358886719
2731,165.8780059814453
752,266.8681335449219
434,321.2736511230469
126,160.76388549804688
3252,331.34381103515625
2132,206.33006286621094
51,213.82867431640625
780,341.0258483886719
3269,253.82443237304688
804,277.5355224609375
2028,216.17198181152344
555,267.4057922363281
3183,237.3831787109375
770,255.42630004882812
501,275.2910461425781
623,279.0821838378906
499,253.6916961669922
1896,234.822509765625
224,387.8847961425781
1620,142.86851501464844
2952,218.6141815185547
2092,382.65179443359375
1602,208.37762451171875
290,389.6075744628906
1687,219.4303436279297
1153,202.48731994628906
957,231.12193298339844
2468,269.8799133300781
3314,425.80401611328125
1224,461.3043212890625
2517,349.8617858886719
921,270.65411376953125
964,269.8818359375
1740,221.00135803222656
2361,286.17950439453125
1660,271.7176208496094
2522,167.53778076171875
519,307.5562438964844
2156,171.0317840576172
2159,158.13645935058594
3050,355.38189697265625
453,240.7914581298828
2595,311.8631286621094
2704,319.99188232421875
436,339.50775146484375
130,180.17987060546875
81,151.21444702148438
1027,397.49725341796875
2797,334.7937927246094
2669,249.81500244140625
2223,294.3672790527344
2031,271.6138610839844
397,324.24517822265625
3010,334.4819641113281
2767,322.5547180175781
396,274.85418701171875
1693,188.56942749023438
1432,405.8382263183594
1422,329.66455078125
3132,270.1320495605469
1247,163.6293182373047
1965,229.33514404296875
703,144.62405395507812
678,310.60797119140625
1221,405.3408203125
1638,341.3145751953125
3311,339.0517578125
1329,270.5512390136719
610,199.65264892578125
3198,330.01165771484375
2805,313.3610534667969
2586,469.4449768066406
2635,242.6685333251953
1868,333.01849365234375
2301,283.58099365234375
1994,207.1132354736328
1472,154.90322875976562
1944,264.44195556640625
3107,152.54999999999998
1856,316.9083251953125
2185,365.2887268066406
3312,327.7895812988281
1686,229.44650268554688
1087,225.91798400878906
304,340.4080810546875
159,178.71795654296875
1782,349.3408203125
582,324.7991943359375
423,304.0234069824219
101,134.90257263183594
3321,307.1928405761719
2638,242.2355194091797
455,217.6181640625
1910,220.7610321044922
1402,427.8497619628906
2364,260.02801513671875
3047,302.87689208984375
2516,205.03453063964844
215,258.1669616699219
1471,152.32521057128906
2806,337.1881408691406
2739,361.26025390625
1665,250.33203125
2564,278.087158203125
2918,287.8510437011719
1310,310.1759338378906
2286,301.8802795410156
2916,176.17684936523438
1278,219.07249450683594
3212,345.8131103515625
467,250.31793212890625
2060,304.2481384277344
1983,244.05613708496094
2373,198.20701599121094
537,314.59197998046875
1748,271.0106506347656
2417,268.5592041015625
2659,168.7506103515625
1640,228.42086791992188
826,240.1870574951172
333,434.376708984375
2606,289.02984619140625
